config,fusion_on,kalman_on,xai_adaptive,scenario,seed,MOTA,MOTP_IoU,IDF1,IDSW,FP,FN
fu0_ka0_xa1,False,False,True,multi_threat,2,-0.42622950819672134,0.6483826513145738,0.24017467248908297,0,159,189
fu0_ka1_xa0,False,True,False,multi_threat,2,0.7049180327868853,0.7353402289569533,0.8392857142857143,0,16,56
fu0_ka1_xa1,False,True,True,multi_threat,2,0.7131147540983607,0.7422526544128483,0.8471615720524017,0,20,50
fu1_ka0_xa0,True,False,False,multi_threat,2,-0.4180327868852458,0.6493500668076382,0.27310924369747897,0,167,179
fu1_ka0_xa1,True,False,True,multi_threat,2,-0.42622950819672134,0.6488659284397154,0.275,0,170,178
fu1_ka1_xa0,True,True,False,multi_threat,2,0.7704918032786885,0.746129269245597,0.8823529411764706,0,22,34
fu1_ka1_xa1,True,True,True,multi_threat,2,0.7868852459016393,0.746020431278883,0.8916666666666667,0,22,30
fu0_ka0_xa0,False,False,False,sensor_dropout,2,-0.6140350877192982,0.7013768595153418,0.1320754716981132,0,42,50
fu0_ka0_xa1,False,False,True,sensor_dropout,2,-0.631578947368421,0.7015479119881817,0.1308411214953271,0,43,50
fu0_ka1_xa0,False,True,False,sensor_dropout,2,0.543859649122807,0.7013191450371838,0.7547169811320755,0,9,17
fu0_ka1_xa1,False,True,True,sensor_dropout,2,0.5263157894736843,0.7018346639998153,0.7476635514018691,0,10,17
fu1_ka0_xa0,True,False,False,sensor_dropout,2,-0.6491228070175439,0.6854076061675414,0.14545454545454545,0,45,49
fu1_ka0_xa1,True,False,True,sensor_dropout,2,-0.6666666666666667,0.6856481648259821,0.14414414414414414,0,46,49
fu1_ka1_xa0,True,True,False,sensor_dropout,2,0.5789473684210527,0.7037495455505178,0.7818181818181819,0,10,14
fu1_ka1_xa1,True,True,True,sensor_dropout,2,0.5964912280701755,0.699667157907399,0.7927927927927928,0,10,13
fu0_ka0_xa0,False,False,False,low_snr,2,-0.6140350877192982,0.7013768595153418,0.1320754716981132,0,42,50
fu0_ka0_xa1,False,False,True,low_snr,2,-0.631578947368421,0.7015479119881817,0.1308411214953271,0,43,50
fu0_ka1_xa0,False,True,False,low_snr,2,0.543859649122807,0.7013191450371838,0.7547169811320755,0,9,17
fu0_ka1_xa1,False,True,True,low_snr,2,0.5263157894736843,0.7018346639998153,0.7476635514018691,0,10,17
fu1_ka0_xa0,True,False,False,low_snr,2,-0.6666666666666667,0.6856083646373181,0.14414414414414414,0,46,49
fu1_ka0_xa1,True,False,True,low_snr,2,-0.6842105263157894,0.6858452799520125,0.14285714285714285,0,47,49
fu1_ka1_xa0,True,True,False,low_snr,2,0.5964912280701755,0.6994695282876777,0.7927927927927928,0,10,13
fu1_ka1_xa1,True,True,True,low_snr,2,0.6140350877192983,0.6966622852905742,0.8035714285714286,0,10,12
fu0_ka0_xa0,False,False,False,single_threat,3,,,,0,0,0
fu0_ka0_xa1,False,False,True,single_threat,3,,,,0,0,0
fu0_ka1_xa0,False,True,False,single_threat,3,,,,0,0,0
fu0_ka1_xa1,False,True,True,single_threat,3,,,,0,0,0
fu1_ka0_xa0,True,False,False,single_threat,3,,,,0,0,0
fu1_ka0_xa1,True,False,True,single_threat,3,,,,0,0,0
fu1_ka1_xa0,True,True,False,single_threat,3,,,,0,0,0
fu1_ka1_xa1,True,True,True,single_threat,3,,,,0,0,0
fu0_ka0_xa0,False,False,False,multi_threat,3,0.8089887640449438,0.841173509136998,0.8994082840236687,0,4,13
fu0_ka0_xa1,False,False,True,multi_threat,3,0.8426966292134832,0.8423230231058856,0.9186046511627907,0,4,10
fu0_ka1_xa0,False,True,False,multi_threat,3,0.8089887640449438,0.9480112873624873,0.8994082840236687,0,4,13
fu0_ka1_xa1,False,True,True,multi_threat,3,0.8426966292134832,0.9484206347208219,0.9186046511627907,0,4,10
fu1_ka0_xa0,True,False,False,multi_threat,3,0.9101123595505618,0.8431233040009679,0.9550561797752809,0,4,4
fu1_ka0_xa1,True,False,True,multi_threat,3,0.9101123595505618,0.8431233040009679,0.9550561797752809,0,4,4
fu1_ka1_xa0,True,True,False,multi_threat,3,0.9101123595505618,0.9486627975602436,0.9550561797752809,0,4,4
fu1_ka1_xa1,True,True,True,multi_threat,3,0.9101123595505618,0.9486627975602436,0.9550561797752809,0,4,4
fu0_ka0_xa0,False,False,False,sensor_dropout,3,,,,0,0,0
fu0_ka0_xa1,False,False,True,sensor_dropout,3,,,,0,0,0
fu0_ka1_xa0,False,True,False,sensor_dropout,3,,,,0,0,0
fu0_ka1_xa1,False,True,True,sensor_dropout,3,,,,0,0,0
fu1_ka0_xa0,True,False,False,sensor_dropout,3,,,,0,0,0
fu1_ka0_xa1,True,False,True,sensor_dropout,3,,,,0,0,0
fu1_ka1_xa0,True,True,False,sensor_dropout,3,,,,0,0,0
fu1_ka1_xa1,True,True,True,sensor_dropout,3,,,,0,0,0
fu0_ka0_xa0,False,False,False,low_snr,3,,,,0,0,0
