config,fusion_on,kalman_on,xai_adaptive,scenario,MOTA_mean,MOTA_std,MOTP_IoU_mean,MOTP_IoU_std,IDF1_mean,IDF1_std,IDSW_mean,IDSW_std,FP_mean,FP_std,FN_mean,FN_std
fu1_ka0_xa1,True,False,True,low_snr,0.06953398768414248,0.6142815372356241,0.7302027580317401,0.04057091144910879,0.527989036188548,0.31264929904167993,0.0,0.0,53.6,51.02254403692548,57.0,52.758885507561665
fu1_ka0_xa1,True,False,True,multi_threat,0.024405337667521242,0.5488418900929024,0.7405692395400468,0.07399357184681635,0.5045809950576412,0.27917074687953086,0.0,0.0,180.8,130.16412716259424,190.4,136.08563480397186
fu1_ka0_xa1,True,False,True,sensor_dropout,-0.09504558807227584,0.5519971937492519,0.7193692285742568,0.03409490862813752,0.42210697200101543,0.28727358675920245,0.0,0.0,93.4,98.72081847310626,118.6,127.70003915426182
fu1_ka0_xa1,True,False,True,single_threat,0.47456564799094514,0.7767243385227318,0.7296588658256172,0.03978512537737238,0.7328614307717185,0.3954668199938305,0.0,0.0,14.0,19.42935922772545,16.2,19.75348070594142
fu1_ka1_xa0,True,True,False,low_snr,0.7387137716085085,0.1601807002826316,0.8064264899181127,0.08229161455960878,0.866160416048664,0.08219252810416178,0.0,0.0,13.8,16.068602926203635,20.0,19.58315602756614
fu1_ka1_xa0,True,True,False,multi_threat,0.7668707875875258,0.09612313832963774,0.8108379457662156,0.08412776925834942,0.8808692266836123,0.04947912590036405,0.0,0.0,36.2,26.451843035977664,50.8,35.25904139366242
fu1_ka1_xa0,True,True,False,sensor_dropout,0.6237860311502692,0.16276454469775087,0.7817963294834681,0.07487462970083802,0.7957554053044158,0.0916782824260494,0.0,0.0,23.6,26.510375327407193,58.6,66.4176181445857
fu1_ka1_xa0,True,True,False,single_threat,0.8601263912469346,0.17579868071735413,0.8546907276469132,0.10464590027804692,0.9282170603174442,0.09030716212585735,0.0,0.0,2.2,4.3817804600413295,6.4,4.722287581247039
fu1_ka1_xa1,True,True,True,low_snr,0.7322386613214786,0.14947705972678804,0.8052987406407026,0.08456439308784601,0.8642466506913362,0.07583953223955966,0.0,0.0,16.0,17.449928366615147,19.4,19.243180610283737
fu1_ka1_xa1,True,True,True,multi_threat,0.7650266503725206,0.10209022098571874,0.8095805813136543,0.08400797568755826,0.8808095227962154,0.05204030172161887,0.0,0.0,39.4,29.356430300702435,49.0,35.04996433664377
fu1_ka1_xa1,True,True,True,sensor_dropout,0.6352570701258469,0.1652286701090031,0.7805268783303345,0.07594101548878639,0.8064859140139076,0.09014163798710115,0.0,0.0,27.6,31.09340766143203,52.8,60.66877285721213
fu1_ka1_xa1,True,True,True,single_threat,0.8550186285606489,0.16070198404045294,0.8539798681549655,0.1060461069751131,0.9263621087526477,0.08188500393462335,0.0,0.0,3.6,3.7815340802378077,5.8,4.381780460041329
